,Unnamed: 0,Serial Number,Material,Batch,Handling Unit,Date,Material Number,Time,Count.,Plant Responsible for UII,Created By,Created on,MovmtStatus,Handling unit status
0,0, 22183311     ,201301073350,161661N0HD,1000201857   ,06.12.2021,PV MODULES ELDORA VSP.72.335.05-36M    ,11:39:46,      ,                         ,BISWAJIT.H,06.12.2021,0050       ,Posted for GI                     
1,1, 22162797     ,200301073350,161652N0HD,1000201855   ,06.12.2021,PV MODULES ELDORA VSP.72.335.05-36M_18V,09:17:25,      ,                         ,PUSPENDU.M,06.12.2021,0020       ,Stock at a non-HU storage location
2,2, 22162806     ,200301073350,161652N0HD,1000201855   ,06.12.2021,PV MODULES ELDORA VSP.72.335.05-36M_18V,09:17:25,      ,                         ,PUSPENDU.M,06.12.2021,0020       ,Stock at a non-HU storage location
3,3, 22162815     ,200301073350,161652N0HD,1000201855   ,06.12.2021,PV MODULES ELDORA VSP.72.335.05-36M_18V,09:17:25,      ,                         ,PUSPENDU.M,06.12.2021,0020       ,Stock at a non-HU storage location
4,4, 22162819     ,200301073350,161652N0HD,1000201855   ,06.12.2021,PV MODULES ELDORA VSP.72.335.05-36M_18V,09:17:25,      ,                         ,PUSPENDU.M,06.12.2021,0020       ,Stock at a non-HU storage location
5,5, 22162820     ,200301073350,161652N0HD,1000201855   ,06.12.2021,PV MODULES ELDORA VSP.72.335.05-36M_18V,09:17:25,      ,                         ,PUSPENDU.M,06.12.2021,0020       ,Stock at a non-HU storage location
6,6, 22154122     ,200301063450,161650S0LD,1000201854   ,06.12.2021,PV MODULES ELDORA VSP.72.345.05-36M    ,09:17:01,      ,                         ,PUSPENDU.M,06.12.2021,0020       ,Stock at a non-HU storage location
7,7, 22292087     ,200201033500,151456N6HB,1000201853   ,06.12.2021,PV MODULES ELDORA VSPH.72.350.05-36M_D ,03:38:25,      ,                         ,TANMOY.J  ,06.12.2021,0020       ,Stock at a non-HU storage location
8,8, 22290529     ,200201033500,151455N6LB,1000201852   ,06.12.2021,PV MODULES ELDORA VSPH.72.350.05-36M_D ,03:37:59,      ,                         ,TANMOY.J  ,06.12.2021,0020       ,Stock at a non-HU storage location
9,9, 22288784     ,200201033500,151454N6LD,1000201850   ,06.12.2021,PV MODULES ELDORA VSPH.72.350.05-36M_D ,03:37:18,      ,                         ,TANMOY.J  ,06.12.2021,0020       ,Stock at a non-HU storage location
